ID,Ազգանուն Անուն Հայրանուն,Սեռ,Մարզ,Մարզադպրոցի անվանում,Մարզիչ,,rating_standard_2017,rating_standard_2018,rating_standard_2019,rating_standard_2020,rating_standard_2021,rating_standard_2022
1005174,Աբգարյան Հենրի Վաղարշի,ար,Երևան,Անհատական,Անհատական,2430,2417,2420,2405,2391,2402,2419
1005610,Աբգարյան Մարտուն Ռուբենի,ար,Երևան,Անհատական,Անհատական,2438,2417,2392,2368,2360,2364,2410
1005611,Աբգարյան Մերի Մկրտիչի,իգ,Երևան,Նուբարաշեն,Գևորգյան Վ.,2430,2425,2419,2419,2419,2419,2458
1005612,Աբգարյան Սերգեյ Աթենի,ար,Երևան,Անհատական,Անհատական,2418,2382,2391,2394,2397,2405,2402
1005613,Աբգարյան Վալերի Գագիկ,ար,Կոտայք,Եղվարդի ՄՊՄԴ,Տիգրանյան Տ.,2464,2470,2479,2479,2479,2458,2408
1005614,Աբգարյան Վահան Դավիթի,ար,Վայոց ձոր,Վայքի շ/դ,Հովսեփյան Լ.,2436,2436,2465,2457,2427,2390,2386
1014040,Աբգարյան Վովա Մակիչի,ար,Երևան,Տ. Պետրոսյան,Խալաֆյան Է.,2361,2366,2397,2387,2406,2418,2275
1005615,Աբդոյան Գոռ Գագիկի,ար,Երևան,Դավթաշեն,Բոյաջյան Հ.,2390,2400,2381,2386,2386,2386,2011
1005171,Աբելյան Անդրանիկ Լևոնի,ար,Երևան,Անհատական,Անհատական,2275,2275,2275,2275,2275,2275,2289
1005616,Աբելյան Արթուր Աշոտի,ար,Տավուշ,Իջևանի շ/դ - ՀՇԱ,Գևորգյան Արթ.,2027,2028,2063,2020,2011,2011,2334
1005617,Աբելյան Հայկ Արմենի,ար,Երևան,Անհատական,Անհատական,2289,2289,2289,2289,2289,2289,2389
1005618,Աբելյան Մերի Հովհաննեսի,իգ,Կոտայք,Հրազդանի ՄՇՕՄՊՄԴ,Ալավերդյան Գ.,2334,2334,2334,2334,2334,2334,2385
1005619,Աբելյան Նաիրա Ալբերտի,իգ,Երևան,Տ. Պետրոսյան,Պետրոսյան Տ. Ա-ի,2405,2389,2389,2389,2389,2389,2474
1005620,Աբիսողոմոնյան Դավիթ Վահագնի,ար,Երևան,Դավթաշեն,Բոյաջյան Հ.,2385,2385,2385,2385,2385,2385,2297
1005621,Աբոյան Մաքսիմ Հովհաննեսի,ար,Կոտայք,Աբովյանի շ/դ,Ամբարջյան Թ.,2476,2476,2482,2484,2454,2469,2380
1005622,Աբոյան Տիգրան Արամի,ար,Երևան,Անհատական,Անհատական,2381,2374,2352,2305,2293,2278,2284
1005623,Աբովյան Աշոտ Արկադի,ար,Տավուշ,Նոյեմբերյանի ավ/դպ,Չիլինգարյան Ա.,2372,2372,2372,2372,2372,2372,2331
1005624,Աբովյան Աշոտ Արմենի,ար,Երևան,Արաբկիր,Աստղիկ Հ.,2380,2380,2380,2380,2380,2380,2360
1005625,Աբովյան Դավիթ Արմենի,ար,Երևան,Արաբկիր,Աստղիկ Հ.,2284,2284,2284,2284,2284,2284,2345
1005626,Աբովյան Ժորա Արսենի,ար,Երևան,Անհատական,Անհատական,2375,2375,2375,2365,2365,2331,2240
1005627,Աբովյան Մարկ Վոլոդյայի,ար,Երևան,Նուբարաշեն,Գևորգյան Վ.,2405,2405,2405,2386,2375,2360,2340
1005628,Աբրահամյան Ալբերտ Արայի,ար,Երևան,Անհատական,Անհատական,2339,2335,2335,2335,2335,2345,2355
1005629,Աբրահամյան Ալեն Արթուրի,ար,Երևան,Անհատական,Անհատական,2308,2305,2294,2268,2238,2235,2370
1005630,Աբրահամյան Ալեն Կարենի,ար,Երևան,Ավան,Հունանյան Դ.,2369,2362,2360,2367,2367,2327,1898
1005631,Աբրահամյան Ալեքս Լևոնի,ար,Երևան,Տ. Պետրոսյան,Սանթրյան Ա.,2355,2355,2355,2355,2355,2355,2339
1005632,Աբրահամյան Ալեքս Ավագի,ար,Երևան,Ակադեմիա,Ալբերտ Շ.,2370,2370,2370,2370,2370,2370,1875
1005633,Աբրահամյան Ալեքս Գոռի,ար,Երևան,Արաբկիր,Սայադյան Է.,2359,2359,2359,2359,2359,2359,2365
1005634,Աբրահամյան Ալեքս Սահրադի,ար,Երևան,Նոր Նորք,Պետրոսյան Հ.,1898,1898,1898,1898,1898,1898,2243
1005635,Աբրահամյան Ալեքս Սերգեյի,ար,Կոտայք,Հրազդանի ՄՇՕՄՊՄԴ,Գալստյան Գ.,2339,2339,2339,2339,2339,2339,2248
1005636,Աբրահամյան Ալեքսանդր Սարգիսի,ար,Երևան,Տ. Պետրոսյան,Արուսյակ Ա.,1864,1875,1875,1875,1875,1875,2360
1005637,Աբրահամյան Անի Ազատի,իգ,Երևան,Անհատական,Անհատական,2348,2348,2365,2365,2365,2365,2359
1005638,Աբրահամյան Անի Արմենի,իգ,Կոտայք,Հրազդանի ՄՇՕՄՊՄԴ,Պետրոսյան Արմ.,2365,2365,2243,2243,2243,2243,2375
1005639,Աբրահամյան Արա Արսենի,ար,Երևան,Նորք-Մարաշ,Ղազարյան Արմ.,2243,2243,2261,2243,2260,2245,2448
1005640,Աբրահամյան Արամ Կարենի,ար,Արմավիր,Արմավիրի շ/դ,Մուրադյան Ռազ.,2285,2276,2360,2360,2360,2360,2355
1005641,Աբրահամյան Արեգ Սիրակի,ար,Կոտայք,Եղվարդի ՄՊՄԴ,Ավետիսյան Գ.,2360,2360,2408,2403,2395,2363,2350
1014041,Աբրահամյան Արեգ Վահագնի,ար,Երևան,Արաբկիր,Արմինե Ա.,2408,2409,2268,2268,2268,2268,2214
1005642,Աբրահամյան Արթուր Արմանի,ար,Սյունիք,Գորիսի շ/դ - ՀՇԱ,Պետրոսյան Կար.,2268,2268,2375,2375,2375,2375,2401
1014042,Աբրահամյան Արթուր Ժոֆրեի,ար,Երևան,Տ. Պետրոսյան,Կլնջյան Լ.,2375,2375,2460,2450,2411,2450,2280
1005562,Աբրահամյան Արման Արմենի,ար,Երևան,Մալաթիա,Ակոպով Ռ.,2482,2477,2355,2355,2355,2355,2320
1005643,Աբրահամյան Արման Միհրանի,ար,Երևան,Աջափնյակ,Պողոսյան Կ.,2355,2355,2350,2350,2350,2350,2154
1005644,Աբրահամյան Արման Տիգրանի,ար,Երևան,Աջափնյակ,Սահակյան Տ.,2350,2350,2292,2274,2225,2214,2356
1005645,Աբրահամյան Արմեն Արսենի,ար,Երևան,Նորք-Մարաշ,Ղազարյան Արմ.,2299,2315,2401,2401,2401,2401,2134
1005175,Աբրահամյան Արմեն Սամվելի,ար,Արմավիր,Արմավիրի շ/դ,Գալոյան Ա.,2401,2401,2280,2280,2280,2280,2271
1005646,Աբրահամյան Արմեն Վահեի,ար,Արմավիր,Արմավիրի շ/դ - ՀՇԱ,Գալոյան Ա.,2280,2280,2320,2320,2320,2320,2370
1005647,Աբրահամյան Արտյոմ Արմենի,ար,Երևան,Անհատական,Անհատական,2320,2320,2154,2154,2154,2154,2344
1005648,Աբրահամյան Գագիկ Աշոտի,ար,Արմավիր,Արմավիրի շ/դ,Մուրադյան Ռազ.,2226,2199,2356,2356,2356,2356,2244
1005649,Աբրահամյան Գագիկ Արտակի,ար,Երևան,Անհատական,Անհատական,2356,2356,2296,2268,2149,2134,2338
1005650,Աբրահամյան Գագիկ Հակոբի,ար,Երևան,Նուբարաշեն,Լևոն Գ.,2296,2296,2271,2271,2271,2271,2163
1005651,Աբրահամյան Գևորգ Արկադիի,ար,Երևան,Անհատական,Անհատական,2271,2271,2370,2370,2370,2370,2290
1005652,Աբրահամյան Գոհարիկ Արայիկի,իգ,Արմավիր,Էջմիածնի շ/դ - ՀՇԱ,Անդրեասյան Հ.,2370,2370,2330,2344,2353,2344,2320
1014043,Աբրահամյան Գոռ Գրիգորի,ար,Երևան,ՆՀՏ,Բարխոյան Գ.,2338,2324,2280,2280,2244,2244,2165
1005653,Աբրահամյան Դավիթ Աշոտի,ար,Երևան,Տ. Պետրոսյան,Արուսյակ Ա.,2280,2280,2346,2346,2346,2338,2325
1005654,Աբրահամյան Դավիթ Կարենի,ար,Երևան,Անհատական,Անհատական,2351,2346,2182,2182,2182,2163,1959
1005655,Աբրահամյան Դավիթ Կարենի,ար,Լոռի,Վանաձորի շ/դ,Հովհաննիսյան Կ.,2182,2182,2290,2290,2290,2290,2247
1005656,Աբրահամյան Դավիթ Միրհոսեինի,ար,Երևան,Անհատական,Անհատական,2306,2290,2320,2320,2320,2320,2320
1005657,Աբրահամյան Էդիկ Գուրգենի,ար,Արարատ,«Անհատական»,«Անհատական»,2320,2320,2206,2206,2165,2165,2311
1005658,Աբրահամյան Էլինա Հայկի,իգ,Երևան,Ռ. Վահանյան,Պողոսյան Վ.,2196,2189,2325,2325,2325,2325,2069
1005659,Աբրահամյան Էմիլի Հակոբի,իգ,Երևան,Անհատական,Անհատական,2325,2325,1959,1959,1959,1959,2315
1005660,Աբրահամյան Էմիլի Հովհաննեսի,ար,Երևան,Աջափնյակ,Պողոսյան Կ.,1959,1959,2245,2251,2251,2247,2170
1014044,Աբրահամյան Էրիկ Արսենի,ար,Երևան,ՆՀՏ,Բարխոյան Գ.,2215,2227,2320,2320,2320,2320,2315
1005661,Աբրահամյան Իրինա Լևոնի,իգ,Կոտայք,Աբովյանի շ/դ,Մարգարյան Լ.,2320,2320,2311,2311,2311,2311,2215
1005662,Աբրահամյան Լևոն Արտակի,ար,Կոտայք,Աբովյանի շ/դ,Ամբարջյան Թ.,2311,2311,2105,2106,2106,2038,2265
1005663,Աբրահամյան Լիլի Պավլիկի,իգ,Լոռի,Վանաձորի շ/դ,Շահինյան Դ.,2105,2105,2315,2315,2315,2315,2159
1005664,Աբրահամյան Լյուսի Շավարշի,իգ,Արմավիր,Արմավիրի շ/դ,Մուրադյան Ռազ.,2315,2315,2210,2170,2170,2170,2149
1005665,Աբրահամյան Հակոբ Լևոնի,ար,Կոտայք,Աբովյանի շ/դ,Քալաշյան Վ.,2251,2210,2315,2315,2315,2315,2314
1005666,Աբրահամյան Հակոբ Սամվելի,ար,Երևան,Անհատական,Անհատական,2315,2315,2215,2215,2215,2215,2310
1005667,Աբրահամյան Հայկ Վարդանի,ար,Երևան,Անհատական,Անհատական,2215,2215,2265,2265,2265,2265,2330
1004789,Աբրահամյան Մայիս Ավետիքի,ար,Շիրակ,Գյումրիի ՇՄՊՄԴ,Մարտիրոսյան Ա.,2265,2265,2302,2221,2188,2176,2210
1005668,Աբրահամյան Մարատ Ժորայի,ար,Երևան,Նորք-Մարաշ,Եգանյան Պ.,2290,2297,2149,2149,2149,2149,2315
1005669,Աբրահամյան Մարի Սիրակի,իգ,Կոտայք,Եղվարդի ՄՊՄԴ,Ավետիսյան Գ.,2149,2149,2314,2314,2314,2314,2354
1005670,Աբրահամյան Մարտին Արմենի,ար,Լոռի,Վանաձորի շ/դ,Հովհաննիսյան Կ.,2314,2314,2310,2310,2310,2310,2164
1005671,Աբրահամյան Մարտուն Աղաբեկի,ար,Արմավիր,Արմավիրի շ/դ,Գալոյան Ա.,2310,2310,2330,2330,2330,2330,2200
1005672,Աբրահամյան Մհեր Սասունի,ար,Կոտայք,«Անհատական»,«Անհատական»,2330,2330,2235,2214,2216,2210,2250
1005673,Աբրահամյան Նարեկ Արմանի,ար,Երևան,Անհատական,Անհատական,2247,2215,2315,2315,2315,2315,2200
1005674,Աբրահամյան Նարեկ Ստանիսլավի,ար,Երևան,Արաբկիր,Արմինե Ա.,2315,2315,2354,2354,2354,2354,2128
1005675,Աբրահամյան Նիանա Գագիկի,իգ,Երևան,Կենտրոն,Քարհանյան Ա.,2372,2358,2164,2164,2164,2164,2261
1005676,Աբրահամյան Նինա Արտակի,իգ,Կոտայք,Աբովյանի շ/դ,Մարգարյան Լ.,2164,2164,2200,2200,2200,2200,2325
1014045,Աբրահամյան Պավել Իվանի,ար,Սյունիք,«Դ. Համբարձումյան»,Ադիբեկյան Ա.,2200,2200,2250,2250,2250,2250,2300
1005677,Աբրահամյան Ռաֆայել Ավետիքի,ար,Երևան,Անհատական,Անհատական,2250,2250,2229,2217,2200,2200,2238
1005678,Աբրահամյան Ռոման Արայի,ար,Երևան,«64» շախմ. դպ.,Պետրոսյան Շուշ.,2248,2257,2315,2315,2128,2128,2320
1004905,Աբրահամյան Ռոման Դավիթի,ար,Երևան,Անհատական,Անհատական,2315,2315,2261,2261,2261,2261,2006
1005679,Աբրահամյան Սաթենիկ Ալենի,իգ,Երևան,Մխ.-Սեբաստացի,Միքայելյան Առ.,2261,2261,2343,2339,2333,2326,2343
1005680,Աբրահամյան Սարգիս Նարեկի,ար,Երևան,Ռ. Վահանյան,Չատինյան Ռ.,2356,2364,2300,2300,2300,2300,2306
1005681,Աբրահամյան Սարգիս Վարդանի,ար,Երևան,Մալաթիա,Ստեփանյան Գ.,2300,2300,2241,2239,2239,2249,2257
1005682,Աբրահամյան Սեյրան Պավլիկի,ար,Լոռի,Վանաձորի շ/դ,Շահինյան Դ.,2265,2235,2320,2320,2320,2320,2135
1005683,Աբրահամյան Սոնա Հակոբի,իգ,Երևան,Անհատական,Մանուկյան Է.,2320,2320,2048,2108,2026,1997,2244
1005684,Աբրահամյան Սուրեն Արմանի,ար,Սյունիք,Գորիսի շ/դ - ՀՇԱ,Պետրոսյան Կար.,2066,2054,2270,2291,2291,2291,1905
1005685,Աբրահամյան Ստեփան Անդրանիկի,ար,Երևան,Շիրակացի,Փիլոսյան Ն.,2204,2270,2338,2339,2343,2343,2294
1005686,Աբրահամյան Վահան Արամազդի,ար,Երևան,Անհատական,Անհատական,2346,2346,2360,2364,2364,2364,2211
1005687,Աբրահամյան Վրեժ Գագիկի,ար,Երևան,Անհատական,Անհատական,2357,2359,2299,2271,2279,2290,2216
1004607,Աբրահամյան Տիգրան Դավիթի,ար,Երևան,Անհատական,Անհատական,2310,2314,2257,2257,2257,2257,2317
1005688,Աբրահամյան Տիգրան Վահեի,ար,Երևան,Անհատական,Անհատական,2257,2257,2214,2249,2144,2135,2088
1005689,Աբրոյան Կարինե Արթուրի,իգ,Երևան,Ռ. Վահանյան,Գագիկ Ս.,2209,2209,2244,2244,2244,2244,2285
1004468,Ագասարով Բենիկ Էդգարի,ար,Երևան,Բարձրագույն վ/մդ,Հովիկ Հ.,2265,2265,1918,1905,1905,1905,2224
1005690,Ագեյչևա Մարիա Լևոնի,իգ,Շիրակ,Գյումրի - «Տ. Պետրոսյան»,Գրիգորյան Ան.,1974,1911,2320,2294,2294,2294,1820
1005691,Ագուլյան Գևորգ Արմենի,ար,Երևան,Էրեբունի,Արմենակ Ե.,2320,2320,2211,2211,2211,2211,2031
1005692,Ադամյան Ալբերտ Գոռի,ար,Տավուշ,Իջևանի թիվ. 1 դպ.,Մատինյան Է.,2211,2211,2216,2216,2216,2216,2235
1005693,Ադամյան Ալեքսանդր Դավիթի,ար,Կոտայք,Աբովյանի շ/դ,Սիմոնյան Ար.,2216,2216,2303,2319,2326,2317,2286
1005694,Ադամյան Արգամ Արմանի,ար,Տավուշ,Իջևանի թիվ. 1 դպ.,Մատինյան Է.,2338,2303,2088,2088,2088,2088,2285
1005695,Ադամյան Արթուր Դավիթի,ար,Երևան,Տ. Պետրոսյան,Հակոբյան Ե.,2096,2089,2285,2285,2285,2285,2248
1005696,Ադամյան Արթուր Ներսեսի,ար,Երևան,Ռ. Վահանյան,Գագիկ Ս.,2285,2285,2285,2285,2285,2285,2319
1005697,Ադամյան Արմենակ Հայկի,ար,Կոտայք,Աբովյանի շ/դ,Սիմոնյան Ար.,2285,2285,2224,2224,2224,2224,2387
1005698,Ադամյան Արտյոմ Արայի,ար,Տավուշ,Բերդի ե/դ ,Զաքարյան Ա.,2224,2224,1820,1820,1820,1820,2134
1005699,Ադամյան Արփի Արթուրի,իգ,Կոտայք,Աբովյանի շ/դ,Սիմոնյան Ար.,1820,1820,2244,2244,2244,2244,2210
1005700,Ադամյան Բորիս Արտակի,ար,Երևան,Էրեբունի,Քարհանյան Ա.,2244,2244,2031,2031,2031,2031,1945
1005701,Ադամյան Գևորգ Արտյոմի,ար,Երևան,Աջափնյակ,Սահակյան Տ.,2031,2031,2235,2235,2235,2235,2120
1005702,Ադամյան Դավիթ Հայրիկի,ար,Երևան,Դավթաշեն,Բաբումյան Տ.,2235,2235,2335,2320,2304,2286,2219
1005703,Ադամյան Էդգար Սերգեյի,ար,Երևան,Անհատական,Անհատական,2367,2367,2285,2285,2285,2285,2262
1005704,Ադամյան Էրիկ Արտակի,ար,Կոտայք,Աբովյանի շ/դ,Մարգարյան Լ.,2285,2285,2292,2248,2248,2248,2275
1005705,Ադամյան Էրիկ Արայի,ար,Գեղարքունիք,Սարուխանի շ/դ - ՀՇԱ,Թորոյան Գ.,2292,2292,2327,2340,2353,2314,2018
1005706,Ադամյան Լիանա Արմանի,իգ,Երևան,Անհատական,Անհատական,2335,2335,2387,2387,2387,2387,2161
1005707,Ադամյան Կարեն Գրիգորի,ար,Երևան,Նուբարաշեն,Բոյաջյան Հ.,2387,2387,2182,2182,2134,2134,2275
1005708,Ադամյան Հակոբ Արկադիի,ար,Երևան,Աջափնյակ,Սահակյան Տ.,2182,2182,2310,2310,2310,2310,2275
1005709,Ադամյան Հայկ Աշոտի,ար,Տավուշ,Բերդի ե/դ ,Զաքարյան Ա.,2310,2310,2210,2210,2210,2210,2278
1005710,Ադամյան Մանե Հովհաննեսի,իգ,Արմավիր,Էջմիածնի շ/դ - ՀՇԱ,Անդրեասյան Հ.,2227,2210,2016,1977,1945,1945,2258
1005711,Ադամյան Մանե Սրապիոնի,իգ,Երևան,Անհատական,Մարտիրոսյան Գ.,2050,2016,2120,2120,2120,2120,2075
1005712,Ադամյան Նիկաս Ավետիքի,ար,Երևան,Արաբկիր,Ստեփանյան Գ.,2120,2120,2219,2219,2219,2219,2237
1005713,Ադամյան Ռուբեն Սարգիսի,ար,Երևան,Ակադեմիա,Խաչիկյան Հ.,2219,2219,2262,2262,2262,2262,2133
1005714,Ադամյան Սամվել Արթուրի,ար,Կոտայք,Աբովյանի շ/դ,Սիմոնյան Ար.,2262,2262,2275,2275,2275,2275,1832
1005715,Ադամյան Սամվել Գագիկի,ար,Երևան,Էրեբունի,Ղարոյան Հ.,2275,2275,2083,2040,2085,2070,2363
1005716,Ադամյան Սևակ Դավիթի,ար,Երևան,Անհատական,Անհատական,2090,2096,2159,2170,2203,2220,2111
1005717,Ադամյան Սոնա Կարենի,իգ,Երևան,Անհատական,Աղինյան Ն.,2231,2145,2275,2275,2275,2275,2215
1005718,Ադամյան Վոլոդյա Միհրանի,ար,Սյունիք,Մեղրիի շ/դ - ՀՇԱ,Մանուկյան Արտ.,2275,2275,2275,2275,2275,2275,2378
1005719,Ադամյան Տիգրան Արամի,ար,Երևան,Աջափնյակ,Բագրատ Գ.,2275,2275,2278,2278,2278,2278,1900
1005486,Ադամյան Րաֆֆի Գենադիի,ար,Երևան,Բարձրագույն վ/մդ,Մելքոնյան Վ.,2278,2278,2258,2258,2258,2258,2410
1005720,Ադիբեկյան Ալեքս Սամվելի,ար,Շիրակ,Գյումրի - «Տ. Պետրոսյան»,Գրիգորյան Ան.,2258,2258,2046,2042,2036,2046,2203
1005721,Ադիբեկյան Արմեն Վարդանի,ար,Երևան,Աջափնյակ,Պողոսյան Կ.,2029,2061,2237,2237,2237,2237,2255
1005722,Ադիբեկյան Լևոն Սամվելի,ար,Շիրակ,Գյումրի - «Տ. Պետրոսյան»,Հովհաննիսյան Շ.,2237,2237,2149,2156,2133,2133,2222
1005723,Ադիբեկյան Վահե Արամի,ար,Կոտայք,Աբովյանի շ/դ,Մարգարյան Լ.,2185,2123,1748,1744,1819,1832,2273
1005724,Ադիյան Թելման Նիկոլայի,ար,Երևան,Տ. Պետրոսյան,Կարաթորոսյան Դ.,1720,1746,2452,2430,2430,2391,2334
1005725,Ադիյան Յանա Արտակի,իգ,Կոտայք,Աբովյանի շ/դ,Պետրոսյան Ա.,2488,2476,2066,2125,2099,2110,2226
1005176,Ադիրխաև Միխաիլ Ռուսլանի,ար,Երևան,Էրեբունի,Արմենակ Ե.,2164,2115,2215,2215,2215,2215,2171
1005726,Ադյան Գոռ Արկադիի,ար,Երևան,11 դպրոց,Թովմաս Հ.,2215,2215,2374,2379,2372,2380,2209
1005727,Ադյան Նարե Հրանտի,իգ,Կոտայք,Հրազդանի ՄՇՕՄՊՄԴ,Պետրոսյան Ռ.,2423,2400,1900,1900,1900,1900,2036
1005728,Ադունց Տրդատ Գարեգինի,ար,Սյունիք,Գորիսի շ/դ,Զաքարյան Մ.,1900,1900,2410,2410,2410,2410,2304
1005729,Ազաբյան Սայադ Արտակի,ար,Կոտայք,Աբովյանի շ/դ,Ամբարջյան Թ.,2410,2410,2203,2203,2203,2203,2283
1005730,Ազաբյան Սուսաննա Արտակի,իգ,Կոտայք,Աբովյանի շ/դ,Ամբարջյան Թ.,2203,2203,2279,2241,2252,2255,2239
1005731,Ազատյան Ալեքս Սամվելի,ար,Երևան,Ռ. Վահանյան,Չատինյան Ռ.,2313,2328,2222,2222,2222,2222,2033
1005732,Ազատյան Գոռ Մուշեղի,ար,Երևան,Աջափնյակ,Սամվել Մ.,2222,2222,2285,2273,2273,2273,2179
1005733,Ազատյան Դավիթ Արտակի,ար,Երևան,Ակադեմիա,Ալբերտ Շ.,2285,2285,2318,2328,2338,2334,2260
1005734,Ազատյան Լյովա Գրիգորի,ար,Երևան,Անհատական,Անհատական,2351,2346,2247,2226,2226,2226,2165
1005735,Ազատյան Հայկ Պապինի,ար,Երևան,Անհատական,Անհատական,2247,2247,2171,2171,2171,2171,2235
1005736,Ազատյան Սարգիս Կառլենի,ար,Երևան,Ակադեմիա,Ազարյան Տ.,2171,2171,2260,2260,2260,2209,2177
1014046,Ազարյան Արթուր Հովիկի,ար,Արարատ,Մասիսի շ/դ - ՀՇԱ,Բարսեղյան Ն.,2260,2260,2036,2036,2036,2036,2250
1005737,Ազարյան Դանիել Բորիսի,ար,Երևան,Կաիսա,Նոնա Ս.,2036,2036,2304,2304,2304,2304,2271
1005738,Ազարյան Եվա Արմանի,իգ,Երևան,Ակադեմիա,Գևորգ Մ.,2304,2304,2325,2306,2283,2283,2112
1005739,Ազարյան Իննա Լևոնի,իգ,Կոտայք,Հրազդանի ՄՇՕՄՊՄԴ,Պետրոսյան Արմ.,2321,2321,2239,2239,2239,2239,2064
1005740,Ազարյան Մակիչ Գևորգի,ար,Տավուշ,Դիլիջանի մ/հ,Սահակյան Ալվ.,2239,2239,2144,2059,2055,2083,2230
1005741,Ազիբեկյան Հայկ Արմանի,ար,Երևան,Անհատական,Անհատական,2062,2086,2179,2179,2179,2179,2216
1014047,Ազիզբեկյան Յուրի Սերգոյի,ար,Երևան,Տ. Պետրոսյան,Կամո Գ.,2179,2179,2260,2260,2260,2260,2004
1005742,Ազիզբեկյան Նարեկ Սամիրի,ար,Կոտայք,Աբովյանի շ/դ,Պետրոսյան Ա.,2260,2260,2079,2155,2125,2165,2232
1005743,Ազիզյան Ալիսա Արմանի,իգ,Երևան,Անհատական,Անհատական,2037,2111,2235,2235,2235,2235,2469
1005744,Ազիզյան Ահարոն Հայկի,ար,Երևան,Աջափնյակ,Պողոսյան Կ.,2235,2235,2229,2186,2218,2177,2245
1005745,Ազիզյան Ավագ Սուրենի,ար,Արմավիր,Արմավիրի շ/դ,Գալոյան Ա.,2254,2215,2250,2250,2250,2250,2196
1005746,Ազիզյան Արամ Հայկի,ար,Երևան,Աջափնյակ,Պողոսյան Կ.,2250,2250,2271,2271,2271,2271,2250
1014048,Ազիզյան Արթուր Էդգարի,ար,Երևան,Մալաթիա,Սարգիս Մ.,2271,2271,2121,2121,2121,2112,1548
1005747,Ազիզյան Արտյոմ Տիգրանի,ար,Երևան,Նուբարաշեն,Գևորգյան Վ.,2146,2146,2051,2035,2064,2064,2200
1005748,Ազիզյան Արտուշ Էդգարի,ար,Երևան,Մալաթիա,Ակոպով Ռ.,2114,2111,2230,2230,2230,2230,1863
1005749,Ազիզյան Գոռ Մայիսի,ար,Երևան,11 դպրոց,Թովմաս Հ.,2230,2230,2224,2224,2224,2216,2240
1014049,Ազիզյան Էդուարդ Արթուրի,ար,Երևան,Ռ. Վահանյան,Մանգրյան Մ.,2243,2243,2027,1950,1954,1998,2220
1005750,Ազիզյան Ինեսա Հրայրի,իգ,Երևան,Ավան,Լուսինե Կ.,2107,2077,2232,2232,2232,2232,2185
1005751,Ազիզյան Նատալի Հակոբի,իգ,Երևան,Նորք-Մարաշ,Եգանյան Պ.,2232,2232,2461,2461,2461,2469,2219
1005752,Ազիզյան Սերգեյ Մկրտիչի,ար,Արարատ,Շառլ Ազնավուր,Նագդալյան Բ.,2487,2461,2245,2245,2245,2245,2093
1005753,Ազիզյան Վահագն Վլադիմիրի,ար,Երևան,Անհատական,Անհատական,2245,2245,2196,2196,2196,2196,2301
1005754,Ազնաուդդյան Հայկ Սամուելի,ար,Երևան,Անհատական,Անհատական,2196,2196,2250,2250,2250,2250,2061
1005755,Ազոյան Ալբերտ Էդմոնդի,ար,Լոռի,Վանաձորի շ/դ,Հովհաննիսյան Կ.,2250,2250,1593,1582,1548,1548,2235
